source_verdict,cite_verdict,link,download_status
"ת""פ 13632-08-17.csv",5604/11,http://www.nevo.co.il/case/6024035,Downloaded
"ת""פ 17856-06-17.csv",6347/17,http://www.nevo.co.il/case/22908754,Downloaded
"ת""פ 22830-12-17.csv",8731/12,http://www.nevo.co.il/case/5608791,Downloaded
"ת""פ 26417-03-17.csv",4329/10,http://www.nevo.co.il/case/5950172,Downloaded
"ת""פ 28615-08-17.csv",5220/09,http://www.nevo.co.il/case/6000182,Downloaded
"ת""פ 31034-06-17.csv",3156/11,http://www.nevo.co.il/case/5878682,Downloaded
"ת""פ 3295-04-18.csv",135/17,http://www.nevo.co.il/case/22006503,Downloaded
"ת""פ 395-05-17.csv",6347/17,http://www.nevo.co.il/case/22908754,Downloaded
"ת""פ 38154-09-17.csv",2422/14,http://www.nevo.co.il/case/13090914,Downloaded
"ת""פ 32889-12-17.csv",1235/09,http://www.nevo.co.il/case/5755630,Downloaded
"ת""פ 3742-07-18.csv",6327/17,http://www.nevo.co.il/case/22908758,Downloaded
"ת""פ 40313-09-15.csv",3156/11,http://www.nevo.co.il/case/5878682,Downloaded
"ת""פ 45561-04-17.csv",6928/17,http://www.nevo.co.il/case/23763436,Downloaded
"ת""פ 41855-07-16.csv",761/07,http://www.nevo.co.il/case/5724364,Downloaded
"ת""פ 45713-07-17.csv",8133/15,http://www.nevo.co.il/case/20683369,Downloaded
"ת""פ 34027-04-18.csv",3336/18,http://www.nevo.co.il/case/24140726,Downloaded
"ת""פ 48435-02-17.csv",3511/17,http://www.nevo.co.il/case/22576642,Downloaded
"ת""פ 49772-11-16.csv",5203/10,http://www.nevo.co.il/case/5999714,Downloaded
"ת""פ 49416-04-18.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"ת""פ 50556-08-17.csv",6671/06,http://www.nevo.co.il/case/6078308,Downloaded
"ת""פ 42291-02-16.csv",2251/11,http://www.nevo.co.il/case/5821327,Downloaded
"ת""פ 51038-02-17.csv",9702/16,http://www.nevo.co.il/case/21771409,Downloaded
"ת""פ 51523-10-17.csv",135/17,http://www.nevo.co.il/case/22006503,Downloaded
"ת""פ 520-07-17.csv",649/15,http://www.nevo.co.il/case/20003566,Downloaded
"ת""פ 522-05-17.csv",2405/12,http://www.nevo.co.il/case/5580525,Downloaded
"ת""פ 52219-06-17.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"ת""פ 55670-06-17.csv",8956/10,http://www.nevo.co.il/case/6141758,Downloaded
"ת""פ 613-04-17.csv",4435/11,http://www.nevo.co.il/case/5957403,Downloaded
"ת""פ 59812-02-16.csv",2422/14,http://www.nevo.co.il/case/13090914,Downloaded
